q,p,d,n,m,h,k,family,verdict,witness,profile,population_searched,exhaustive,population_definition
3,3,1,31,31,1,16,ones,FOUND,"{""coeffs"":[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1],""positions"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]}","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",1,no,all residue allocations modulo cyclic rotation
3,3,1,31,31,1,16,one_changed,FOUND,"{""coeffs"":[2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1],""positions"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]}","[2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",1,no,all residue allocations modulo cyclic rotation
3,3,1,31,31,1,17,ones,FOUND,"{""coeffs"":[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1],""positions"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16]}","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",1,no,all residue allocations modulo cyclic rotation
3,3,1,31,31,1,17,one_changed,FOUND,"{""coeffs"":[2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1],""positions"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16]}","[2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",1,no,all residue allocations modulo cyclic rotation
3,3,1,31,31,1,18,ones,FOUND,"{""coeffs"":[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1],""positions"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17]}","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0]",1,no,all residue allocations modulo cyclic rotation
3,3,1,31,31,1,18,one_changed,FOUND,"{""coeffs"":[2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1],""positions"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17]}","[2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0]",1,no,all residue allocations modulo cyclic rotation
3,3,1,31,31,1,19,ones,FOUND,"{""coeffs"":[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1],""positions"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]}","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0]",1,no,all residue allocations modulo cyclic rotation
3,3,1,31,31,1,19,one_changed,FOUND,"{""coeffs"":[2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1],""positions"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]}","[2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0]",1,no,all residue allocations modulo cyclic rotation
3,3,1,31,31,1,20,ones,FOUND,"{""coeffs"":[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1],""positions"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]}","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0]",1,no,all residue allocations modulo cyclic rotation
3,3,1,31,31,1,20,one_changed,FOUND,"{""coeffs"":[2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1],""positions"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]}","[2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0]",1,no,all residue allocations modulo cyclic rotation
